DENV inhibitors RdRp_登革熱病毒抑制物_3738,,,
Molecule ChEMBL ID,Smiles,Standard Value,標籤小於等於10000為1；反之為0
CHEMBL1631360,CC1(C)CC(Nc2nc(-c3ccc(-c4ccc(Cl)cc4)s3)c3ccccc3n2)CC(C)(C)N1,40.0,
CHEMBL1631362,O=C(CCCC[C@@H]1SC[C@H]2NC(=O)N[C@@H]12)NCCOCCOCCNc1nc(-c2ccc(-c3ccc(Cl)cc3)s2)c2ccccc2n1,234.0,
CHEMBL1652119,Cc1ccc(C)c(OCCCCCCN2C[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO)c1,100.0,
CHEMBL1630219,C#C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cc(C(N)=O)c2c(N)ncnc21,6990.0,
CHEMBL1630220,C#C[C@@]1(O)[C@H](OC(=O)C(C)C)[C@@H](COC(=O)C(C)C)O[C@H]1n1cc(C(N)=O)c2c(N)ncnc21,540.0,
CHEMBL1630220,C#C[C@@]1(O)[C@H](OC(=O)C(C)C)[C@@H](COC(=O)C(C)C)O[C@H]1n1cc(C(N)=O)c2c(N)ncnc21,100.0,
CHEMBL599013,O=C(O)c1ccccc1/C=N/NC(=O)c1cc(-c2ccco2)nc2ccccc12,100000.0,
CHEMBL1704036,C/C(=N\NC(=O)C1CCCC1)c1ccc(NC(=O)C(F)(F)F)cc1,801.5,
CHEMBL2440162,CCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)c1ccc(/C=C2\SC(=S)N(CCc3ccccc3)C2=O)cc1)C(N)=O,7700.0,
CHEMBL2440172,CCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)c1ccc(/C=C2\SC(=S)N(C3CCCC3)C2=O)cc1)C(N)=O,6100.0,
CHEMBL2440322,CCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)c1ccc(/C=C2\SC(=S)N(CCCC)C2=O)cc1)C(N)=O,6200.0,
CHEMBL3335491,CSCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)c1ccccc1)C(N)=O,47500.0,
CHEMBL3335496,CCCC[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)c1ccccc1)C(N)=O,14100.0,
CHEMBL3335503,N=C(N)NCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)Nc1cccc(C(N)=O)c1,96600.0,
CHEMBL3335504,N=C(N)NCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)Nc1ccc(C(N)=O)cc1,92200.0,
CHEMBL3335508,N=C(N)NCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccn1)C(N)=O,44300.0,
CHEMBL3335511,N=C(N)NCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC1CCCCC1)C(N)=O,8200.0,
CHEMBL3335521,CC(C)(C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)c1ccc(/C=C(\C#N)C(=O)NC2CC2)cc1)C(N)=O,57600.0,
CHEMBL3103512,O=C(O)c1cccc2oc(-c3ccccc3O)nc12,700000.0,
CHEMBL1570806,CCOc1ccc(N2C(=O)S/C(=C\c3cccn3C)C2=O)cc1,112219.0,
CHEMBL1475636,CCC(=O)N1c2ccc(S(=O)(=O)CCC(=O)N3CCN(c4ccccc4F)CC3)cc2CC1C,112219.0,
CHEMBL3194985,N/C(=N\N=C\c1ccc(O)cc1)c1nonc1N,1074.0,
CHEMBL1609648,Cc1cccc(C)c1NC(=O)CN(C)C(=O)Cn1c(=O)cnc2ccccc21,112219.0,
CHEMBL1480775,COc1ccccc1NC(=O)C1=C(C)Nc2nnnn2C1c1ccccc1OC,72285.0,
